order,chart,chart_status,chart_res,chart_range_window,chart_range_start,chart_range_end,chart_label
0,high,ON,0,"3 days, 0:00:00",2020-02-21 11:39:24.271563+00:00,2020-02-24 11:39:24.271563+00:00,High Resolution
1,med,ON,5,"14 days, 0:00:00",2020-02-10 11:39:24.271563+00:00,2020-02-24 11:39:24.271563+00:00,Medium Resolution
2,low,ON,120,"264 days, 22:36:07.271563",2019-06-04 13:03:17+00:00,2020-02-24 11:39:24.271563+00:00,Low Resolution
3,low_ave,ON,120,"264 days, 22:36:07.271563",2019-06-04 13:03:17+00:00,2020-02-24 11:39:24.271563+00:00,Low Resolution (average)
4,custom1,OFF,0,"1 day, 0:00:00",2019-06-04 13:03:17+00:00,2019-06-05 13:03:17+00:00,Custom Chart
